PERSON,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1160277,1,1,1,1,1,0,1,0,1,1,1,1,1
1160278,1,0,0,1,1,1,1,1,0,0,1,0,1
1160279,1,0,0,1,1,0,0,0,1,0,1,0,1
1160280,1,0,0,1,1,0,1,0,1,1,0,0,0
1160281,1,1,1,1,1,0,1,1,1,1,1,1,1
1160282,1,1,1,1,1,1,0,0,1,1,0,1,0
1160283,0,0,0,1,0,0,1,0,1,1,1,1,0
1160284,1,0,0,1,0,0,1,0,1,1,1,1,0
1160285,1,0,1,1,1,0,0,0,1,1,0,0,0
1160286,1,1,1,0,0,1,0,0,1,1,1,0,0
1160287,1,0,0,1,0,0,1,1,0,0,0,1,0
1160288,1,0,1,0,0,0,0,0,1,1,1,0,1
1160289,1,0,1,1,0,0,1,0,1,0,0,0,1
1160290,1,1,0,0,0,1,0,0,1,0,0,0,0
1160291,1,1,1,1,1,0,1,1,1,1,1,1,1
1160292,1,0,1,1,0,0,0,0,1,0,1,0,0
1160293,1,1,0,1,1,0,0,0,0,1,0,0,1
1160294,0,1,1,1,1,0,1,1,1,0,0,1,0
1160295,1,0,1,1,1,0,0,0,1,0,0,0,0
1160296,1,0,0,1,1,0,1,1,1,0,0,0,1
1160297,1,1,0,1,0,0,0,0,1,1,0,0,0
1160298,1,0,1,1,1,0,1,0,0,1,1,0,0
1160299,1,1,0,1,0,1,0,1,1,1,1,0,0
1160300,0,0,0,0,0,0,0,1,0,1,0,1,0
1160301,1,1,1,0,1,0,1,0,1,1,0,0,1
1160302,1,0,0,1,0,0,1,0,1,1,1,0,0
1160303,1,0,1,0,0,0,0,1,1,0,0,0,0
1160304,1,1,1,1,0,0,0,1,1,1,0,0,0
1160305,1,0,1,1,0,0,0,0,1,0,0,0,1
1160306,1,1,1,1,1,1,1,0,1,1,1,1,0
1160307,1,1,0,1,0,0,0,0,0,0,0,1,0
1160308,1,1,1,1,0,0,0,0,1,1,1,0,0
1160309,0,1,0,1,0,0,0,0,1,1,0,0,0
1160310,1,1,1,1,1,1,1,1,1,0,1,1,1
1160311,1,0,1,1,0,1,0,0,1,1,0,0,1
1160312,1,0,0,1,0,0,1,0,1,0,0,0,0
1160313,1,1,1,1,1,0,1,1,1,1,1,1,1
1160314,0,0,0,0,0,0,0,1,1,1,0,0,0
1160315,0,1,1,1,0,1,0,0,0,0,0,0,1
1160317,1,0,1,0,0,1,0,0,1,0,1,0,0
1160318,0,0,0,0,1,0,1,0,1,0,0,0,0
1160319,1,0,1,1,1,0,1,1,1,1,0,0,0
1160320,0,1,1,0,1,0,0,1,1,1,0,0,1
1120001,1,1,1,1,1,0,1,0,1,0,1,0,1
1120002,1,1,1,1,1,0,1,1,1,1,1,1,1
1120003,1,1,1,1,1,0,1,0,1,1,1,0,1
1120004,1,1,1,1,1,0,1,0,1,1,1,0,0
1120005,0,0,0,1,0,0,1,0,1,0,1,1,0
